Gene	Description
Glyma.06G002000	stress.biotic.signalling.MLO-like
Glyma.06G014700	protein.degradation.cysteine protease
Glyma.06G014800	protein.degradation.cysteine protease
Glyma.06G015500	stress.biotic.signalling.MLO-like
Glyma.06G015700	stress.biotic.signalling.MLO-like
Glyma.06G018200	protein.degradation.metalloprotease
Glyma.06G019400	protein.degradation.metalloprotease
Glyma.06G023900	stress.biotic
Glyma.06G026600	signalling.receptor kinases.leucine rich repeat
Glyma.06G027700	protein.degradation.cysteine protease
Glyma.06G031600	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.06G036300	protein.degradation.serine protease
Glyma.06G042500	signalling.receptor kinases.leucine rich repeat
Glyma.06G047400	protein.degradation.serine protease
Glyma.06G056400	signalling.receptor kinases.leucine rich repeat
Glyma.06G060100	misc.peroxidases
Glyma.06G064000	hormone metabolism.ethylene.signal transduction
Glyma.06G067000	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.06G072300	stress.biotic
Glyma.06G078600	stress.biotic
Glyma.06G086800	signalling.receptor kinases.leucine rich repeat
Glyma.06G088400	signalling.receptor kinases.leucine rich repeat
Glyma.06G090700	signalling.receptor kinases.leucine rich repeat
Glyma.06G090800	signalling.receptor kinases.leucine rich repeat
Glyma.06G095600	protein.degradation.cysteine protease
Glyma.06G107600	protein.degradation.serine protease
Glyma.06G114200	protein.degradation.aspartate protease
Glyma.06G122800	protein.degradation.serine protease
Glyma.06G123700	stress.biotic
Glyma.06G123800	stress.biotic
Glyma.06G124200	signalling.receptor kinases.leucine rich repeat
Glyma.06G124700	signalling.receptor kinases.leucine rich repeat
Glyma.06G126000	protein.degradation.metalloprotease
Glyma.06G129100	protein.degradation.serine protease
Glyma.06G134700	signalling.receptor kinases.leucine rich repeat
Glyma.06G139000	stress.biotic
Glyma.06G141100	signalling.receptor kinases.leucine rich repeat
Glyma.06G142500	signalling.receptor kinases.leucine rich repeat
Glyma.06G145300	misc.peroxidases
Glyma.06G145500	signalling.receptor kinases.leucine rich repeat
Glyma.06G145500	signalling.receptor kinases.leucine rich repeat
Glyma.06G145800	stress.biotic
Glyma.06G146200	stress.biotic.PR-proteins
Glyma.06G147600	signalling.receptor kinases.leucine rich repeat
Glyma.06G151400	stress.biotic.signalling
Glyma.06G156300	stress.biotic
Glyma.06G157500	protein.degradation.aspartate protease
Glyma.06G162200	protein.degradation.serine protease
Glyma.06G162300	stress.biotic.respiratory burst
Glyma.06G165200	protein.degradation.serine protease
Glyma.06G165400	protein.degradation.serine protease
Glyma.06G167200	stress.biotic
Glyma.06G171900	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.06G172000	protein.degradation.aspartate protease
Glyma.06G174800	protein.degradation.cysteine protease
Glyma.06G175100	signalling.receptor kinases.leucine rich repeat
Glyma.06G181700	protein.degradation.serine protease
Glyma.06G184400	signalling.receptor kinases.leucine rich repeat
Glyma.06G187200	stress.biotic
Glyma.06G187300	stress.biotic
Glyma.06G187400	stress.biotic.signalling
Glyma.06G189100	stress.biotic
Glyma.06G190000	signalling.receptor kinases.leucine rich repeat
Glyma.06G197600	signalling.receptor kinases.leucine rich repeat
Glyma.06G205100	stress.biotic.PR-proteins
Glyma.06G211600	signalling.receptor kinases.leucine rich repeat
Glyma.06G215000	signalling.receptor kinases.leucine rich repeat
Glyma.06G220200	signalling.receptor kinases.leucine rich repeat
Glyma.06G217800	stress.biotic.PR-proteins
Glyma.06G221400	signalling.receptor kinases.leucine rich repeat
Glyma.06G221700	misc.peroxidases
Glyma.06G232500	stress.biotic
Glyma.01G095400	stress.biotic
Glyma.06G236400	hormone metabolism.ethylene.signal transduction
Glyma.06G238700	signalling.receptor kinases.leucine rich repeat
Glyma.06G239000	stress.biotic.PR-proteins
Glyma.06G246800	stress.biotic.signalling.MLO-like
Glyma.06G248700	stress.biotic.PR-proteins
Glyma.06G254300	stress.biotic
Glyma.06G256000	stress.biotic.PR-proteins
Glyma.06G256300	stress.biotic.PR-proteins
Glyma.06G259100	stress.biotic.PR-proteins
Glyma.06G259400	stress.biotic.PR-proteins
Glyma.06G259800	stress.biotic.PR-proteins
Glyma.06G260000	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.06G260100	stress.biotic.PR-proteins
Glyma.06G260500	stress.biotic.PR-proteins
Glyma.06G261500	stress.biotic.PR-proteins
Glyma.06G263500	stress.biotic.PR-proteins
Glyma.06G263700	stress.biotic.PR-proteins
Glyma.06G263900	stress.biotic.PR-proteins
Glyma.06G264100	stress.biotic.PR-proteins
Glyma.06G265000	stress.biotic.PR-proteins
Glyma.06G265200	stress.biotic.PR-proteins
Glyma.06G267300	stress.biotic.PR-proteins
Glyma.06G267400	stress.biotic.PR-proteins
Glyma.06G267600	stress.biotic.PR-proteins
Glyma.06G268100	stress.biotic.PR-proteins
Glyma.06G268500	stress.biotic.PR-proteins
Glyma.06G268600	stress.biotic.PR-proteins
Glyma.06G268700	stress.biotic.PR-proteins
Glyma.06G269200	stress.biotic
Glyma.06G272600	protein.degradation.cysteine protease
Glyma.06G272800	protein.degradation.cysteine protease
Glyma.06G273000	protein.degradation.cysteine protease
Glyma.06G273100	protein.degradation.cysteine protease
Glyma.06G273200	protein.degradation.cysteine protease
Glyma.06G273400	protein.degradation.cysteine protease
Glyma.06G273500	protein.degradation.cysteine protease
Glyma.06G273600	protein.degradation.cysteine protease
Glyma.06G273700	protein.degradation.cysteine protease
Glyma.06G273800	protein.degradation.cysteine protease
Glyma.06G273900	protein.degradation.cysteine protease
Glyma.06G274100	protein.degradation.cysteine protease
Glyma.06G275100	protein.degradation.cysteine protease
Glyma.06G275200	protein.degradation.cysteine protease
Glyma.06G275300	protein.degradation.cysteine protease
Glyma.06G275900	misc.peroxidases
Glyma.06G276200	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.06G276300	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.06G279100	protein.degradation.cysteine protease
Glyma.06G279900	protein.degradation.cysteine protease
Glyma.06G280100	protein.degradation.cysteine protease
Glyma.06G280900	protein.degradation.cysteine protease
Glyma.06G281400	protein.degradation.cysteine protease
Glyma.06G283000	protein.degradation.cysteine protease
Glyma.06G283100	protein.degradation.cysteine protease
Glyma.06G285500	stress.biotic.PR-proteins
Glyma.06G286800	stress.biotic.signalling.MLO-like
Glyma.06G288600	signalling.receptor kinases.leucine rich repeat
Glyma.06G290000	hormone metabolism.ethylene.signal transduction
Glyma.06G293500	protein.degradation.metalloprotease
Glyma.06G302600	misc.peroxidases
Glyma.06G302700	misc.peroxidases
Glyma.06G306700	protein.degradation.metalloprotease
Glyma.06G307300	stress.biotic.PR-proteins
Glyma.06G307400	stress.biotic.PR-proteins
Glyma.06G310000	stress.biotic.PR-proteins
Glyma.06G311000	stress.biotic
Glyma.06G311100	stress.biotic
Glyma.06G311200	stress.biotic
Glyma.06G312100	stress.biotic
Glyma.06G316300	stress.biotic
Glyma.06G318300	stress.biotic
Glyma.06G318600	stress.biotic
Glyma.06G319700	signalling.receptor kinases.leucine rich repeat
Glyma.06G320300	stress.biotic
Glyma.06G320600	signalling.receptor kinases.leucine rich repeat
Glyma.16G186700	signalling.receptor kinases.leucine rich repeat
Glyma.16G182900	stress.biotic
Glyma.07G007800	stress.biotic.PR-proteins
Glyma.07G018500	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.07G022800	hormone metabolism.ethylene.signal transduction
Glyma.07G025800	hormone metabolism.ethylene.signal transduction
Glyma.07G037000	stress.biotic.PR-proteins
Glyma.07G040600	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.07G041200	signalling.receptor kinases.leucine rich repeat
Glyma.07G047200	signalling.receptor kinases.leucine rich repeat
Glyma.07G061600	stress.biotic
Glyma.07G061800	stress.biotic
Glyma.07G062900	stress.biotic.PR-proteins
Glyma.07G063300	stress.biotic
Glyma.07G065000	stress.biotic.PR-proteins
Glyma.07G065500	stress.biotic.PR-proteins
Glyma.07G063600	stress.biotic.PR-proteins
Glyma.07G064100	stress.biotic.PR-proteins
Glyma.07G065600	stress.biotic.PR-proteins
Glyma.07G067900	stress.biotic.PR-proteins
Glyma.07G075700	stress.biotic
Glyma.07G077700	stress.biotic
Glyma.07G078600	hormone metabolism.ethylene.signal transduction
Glyma.07G080600	signalling.receptor kinases.leucine rich repeat
Glyma.07G083500	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.07G090000	protein.degradation.aspartate protease
Glyma.07G090600	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.07G096700	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.07G103500	signalling.receptor kinases.leucine rich repeat
Glyma.07G103700	stress.biotic
Glyma.07G103800	stress.biotic
Glyma.07G103900	stress.biotic
Glyma.07G123000	stress.biotic.PR-proteins
Glyma.07G114300	hormone metabolism.ethylene.signal transduction
Glyma.07G113800	hormone metabolism.ethylene.signal transduction
Glyma.07G112700	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.07G109400	protein.degradation.metalloprotease
Glyma.07G126000	signalling.receptor kinases.leucine rich repeat
Glyma.07G127700	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.07G130700	signalling.receptor kinases.leucine rich repeat
Glyma.07G130800	stress.biotic.respiratory burst
Glyma.07G132800	protein.degradation.serine protease
Glyma.07G135100	stress.biotic
Glyma.07G139400	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.07G141300	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.07G141400	signalling.receptor kinases.leucine rich repeat
Glyma.07G141500	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.07G143500	signalling.receptor kinases.leucine rich repeat
Glyma.07G143900	signalling.receptor kinases.leucine rich repeat
Glyma.07G144100	signalling.receptor kinases.leucine rich repeat
Glyma.07G147800	signalling.receptor kinases.leucine rich repeat
Glyma.07G152700	protein.degradation.metalloprotease
Glyma.07G153200	signalling.receptor kinases.leucine rich repeat
Glyma.07G153300	stress.biotic.PR-proteins
Glyma.07G153500	signalling.receptor kinases.leucine rich repeat
Glyma.07G154900	stress.biotic.PR-proteins
Glyma.07G155000	signalling.receptor kinases.leucine rich repeat
Glyma.07G155800	signalling.receptor kinases.leucine rich repeat
Glyma.07G156000	signalling.receptor kinases.leucine rich repeat
Glyma.07G157100	stress.biotic.PR-proteins
Glyma.07G172400	protein.degradation.serine protease
Glyma.07G174700	protein.degradation.cysteine protease
Glyma.07G175200	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.07G177000	stress.biotic
Glyma.07G186200	stress.biotic
Glyma.07G186300	stress.biotic
Glyma.07G186400	stress.biotic
Glyma.07G188100	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.07G192700	protein.degradation.serine protease
Glyma.07G193000	stress.biotic.PR-proteins
Glyma.07G199700	hormone metabolism.ethylene.signal transduction
Glyma.07G201600	signalling.receptor kinases.leucine rich repeat
Glyma.07G203300	stress.biotic
Glyma.07G203400	misc.peroxidases
Glyma.07G205300	protein.degradation.cysteine protease
Glyma.07G205400	protein.degradation.cysteine protease
Glyma.07G208000	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.07G209900	misc.peroxidases
Glyma.07G214700	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.07G215700	signalling.receptor kinases.leucine rich repeat
Glyma.07G215900	signalling.receptor kinases.leucine rich repeat
Glyma.07G218400	protein.degradation.serine protease
Glyma.07G236600	protein.degradation.serine protease
Glyma.07G237400	misc.peroxidases
Glyma.07G239900	stress.biotic.PR-proteins
Glyma.07G240100	hormone metabolism.ethylene.signal transduction
Glyma.07G246900	protein.degradation.cysteine protease
Glyma.07G257500	protein.degradation.aspartate protease
Glyma.07G259300	stress.biotic
Glyma.07G260300	misc.peroxidases
Glyma.07G262600	protein.degradation.aspartate protease
Glyma.07G263000	misc.peroxidases
Glyma.07G266000	protein.degradation.cysteine protease
Glyma.08G002100	stress.biotic
Glyma.08G002600	protein.degradation.aspartate protease
Glyma.08G005900	stress.biotic.respiratory burst
Glyma.08G008400	protein.degradation.serine protease
Glyma.08G008700	protein.degradation.serine protease
Glyma.08G013200	signalling.receptor kinases.leucine rich repeat
Glyma.08G018900	stress.biotic.respiratory burst
Glyma.08G019800	stress.biotic
Glyma.08G019900	stress.biotic.PR-proteins
Glyma.08G020800	signalling.receptor kinases.leucine rich repeat
Glyma.08G023900	protein.degradation.metalloprotease
Glyma.08G027400	signalling.receptor kinases.leucine rich repeat
Glyma.08G029900	protein.degradation.metalloprotease
Glyma.08G030000	protein.degradation.metalloprotease
Glyma.08G030400	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.08G030500	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.08G030800	protein.degradation.metalloprotease
Glyma.08G032100	signalling.receptor kinases.leucine rich repeat
Glyma.08G036900	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.08G040900	hormone metabolism.ethylene.signal transduction
Glyma.08G053600	stress.biotic
Glyma.08G055700	signalling.receptor kinases.leucine rich repeat
Glyma.08G059400	signalling.receptor kinases.leucine rich repeat
Glyma.08G061300	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.08G062700	signalling.receptor kinases.leucine rich repeat
Glyma.08G072000	stress.biotic
Glyma.08G074100	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.08G078900	signalling.receptor kinases.leucine rich repeat
Glyma.08G079400	signalling.receptor kinases.leucine rich repeat
Glyma.08G083000	signalling.receptor kinases.leucine rich repeat
Glyma.08G083300	signalling.receptor kinases.leucine rich repeat
Glyma.08G086600	protein.degradation.metalloprotease
Glyma.08G090000	signalling.receptor kinases.leucine rich repeat
Glyma.08G091200	stress.biotic
Glyma.08G092200	signalling.receptor kinases.leucine rich repeat
Glyma.08G097400	signalling.receptor kinases.leucine rich repeat
Glyma.08G103900	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.08G112300	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.08G116300	protein.degradation.cysteine protease
Glyma.08G116400	protein.degradation.cysteine protease
Glyma.08G116900	protein.degradation.cysteine protease
Glyma.08G119000	stress.biotic
Glyma.08G119200	stress.biotic
Glyma.08G123300	stress.biotic.PR-proteins
Glyma.08G123800	signalling.receptor kinases.leucine rich repeat
Glyma.08G125500	protein.degradation.cysteine protease
Glyma.08G128000	stress.biotic
Glyma.08G128800	signalling.receptor kinases.leucine rich repeat
Glyma.08G128900	signalling.receptor kinases.leucine rich repeat
Glyma.08G145900	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.08G147600	stress.biotic.signalling
Glyma.08G152200	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.08G152800	signalling.receptor kinases.leucine rich repeat
Glyma.08G154400	stress.biotic.PR-proteins
Glyma.08G161700	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.08G162700	misc.peroxidases
Glyma.08G168000	misc.peroxidases
Glyma.08G169800	hormone metabolism.jasmonate.induced-regulated-responsive-activated
Glyma.08G172700	stress.biotic
Glyma.08G174500	signalling.receptor kinases.leucine rich repeat
Glyma.08G175700	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.08G179500	signalling.receptor kinases.leucine rich repeat
Glyma.08G179600	misc.peroxidases
Glyma.08G179700	misc.peroxidases
Glyma.08G179800	misc.peroxidases
Glyma.08G181500	misc.peroxidases
Glyma.08G188600	stress.biotic.signalling.MLO-like
Glyma.08G190600	stress.biotic.PR-proteins
Glyma.08G192900	stress.biotic.PR-proteins
Glyma.08G203600	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.08G205100	stress.biotic.PR-proteins
Glyma.08G219000	hormone metabolism.ethylene.signal transduction
Glyma.08G228700	protein.degradation.serine protease
Glyma.08G231100	signalling.receptor kinases.leucine rich repeat
Glyma.08G232500	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.08G235300	stress.biotic
Glyma.08G235400	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.08G237500	protein.degradation.metalloprotease
Glyma.08G238000	stress.biotic
Glyma.08G245500	protein.degradation.serine protease
Glyma.08G245600	stress.biotic
Glyma.08G245700	stress.biotic
Glyma.08G246000	stress.biotic
Glyma.08G246100	signalling.receptor kinases.leucine rich repeat
Glyma.08G246300	stress.biotic
Glyma.08G247900	stress.biotic
Glyma.08G250200	stress.biotic
Glyma.08G257800	protein.degradation.serine protease
Glyma.08G258300	stress.biotic.PR-proteins
Glyma.08G258800	protein.degradation.aspartate protease
Glyma.08G259000	stress.biotic
Glyma.08G259200	stress.biotic
Glyma.08G268000	stress.biotic
Glyma.08G268400	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.08G270900	stress.biotic
Glyma.08G280500	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.08G281900	hormone metabolism.ethylene.signal transduction
Glyma.08G286900	stress.biotic
Glyma.08G292100	misc.peroxidases
Glyma.08G292300	protein.degradation.metalloprotease
Glyma.08G293600	stress.biotic.PR-proteins
Glyma.08G294200	signalling.receptor kinases.leucine rich repeat
Glyma.08G295000	stress.biotic.PR-proteins
Glyma.08G295100	stress.biotic.PR-proteins
Glyma.08G299700	stress.biotic
Glyma.08G300300	stress.biotic
Glyma.08G301200	stress.biotic.PR-proteins
Glyma.08G301800	stress.biotic
Glyma.08G302900	signalling.receptor kinases.leucine rich repeat
Glyma.08G303500	stress.biotic
Glyma.08G303600	stress.biotic.PR-proteins
Glyma.08G303700	stress.biotic.PR-proteins
Glyma.08G305400	stress.biotic
Glyma.08G305600	stress.biotic
Glyma.08G308100	stress.biotic
Glyma.08G317400	stress.biotic
Glyma.08G317700	stress.biotic
Glyma.08G318000	stress.biotic
Glyma.08G319300	stress.biotic
Glyma.08G320700	hormone metabolism.ethylene.signal transduction
Glyma.08G323200	stress.biotic
Glyma.08G328800	stress.biotic
Glyma.08G329700	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.08G333200	signalling.receptor kinases.leucine rich repeat
Glyma.08G341000	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.08G341300	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.08G341400	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.08G341700	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.08G342200	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.08G342300	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.08G357200	signalling.receptor kinases.leucine rich repeat
Glyma.08G357200	signalling.receptor kinases.leucine rich repeat
Glyma.08G357400	signalling.receptor kinases.leucine rich repeat
Glyma.09G002500	misc.peroxidases
Glyma.09G002600	hormone metabolism.ethylene.signal transduction
Glyma.09G002900	protein.degradation.serine protease
Glyma.09G003600	stress.biotic
Glyma.09G005600	protein.degradation.aspartate protease
Glyma.09G010900	protein.degradation.cysteine protease
Glyma.09G014400	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.09G020500	stress.biotic
Glyma.09G020600	stress.biotic
Glyma.09G020700	stress.biotic
Glyma.09G022300	misc.peroxidases
Glyma.09G022400	misc.peroxidases
Glyma.09G022500	misc.peroxidases
Glyma.09G022700	misc.peroxidases
Glyma.09G022800	misc.peroxidases
Glyma.09G022900	misc.peroxidases
Glyma.09G023000	misc.peroxidases
Glyma.09G024500	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.09G024900	signalling.receptor kinases.leucine rich repeat
Glyma.09G026200	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.09G038500	stress.biotic
Glyma.09G044400	protein.degradation.cysteine protease
Glyma.09G048300	signalling.receptor kinases.leucine rich repeat
Glyma.09G048400	misc.peroxidases
Glyma.09G049000	signalling.receptor kinases.leucine rich repeat
Glyma.09G049500	protein.degradation.serine protease
Glyma.09G050300	signalling.receptor kinases.leucine rich repeat
Glyma.09G052600	protein.degradation.metalloprotease
Glyma.09G052800	hormone metabolism.ethylene.signal transduction
Glyma.09G052900	hormone metabolism.ethylene.signal transduction
Glyma.09G053000	hormone metabolism.ethylene.signal transduction
Glyma.09G056400	stress.biotic.PR-proteins
Glyma.09G057000	stress.biotic.PR-proteins
Glyma.09G057100	misc.peroxidases
Glyma.09G062100	stress.biotic
Glyma.16G163400	signalling.receptor kinases.leucine rich repeat
Glyma.09G065800	misc.peroxidases
Glyma.09G065900	protein.degradation.metalloprotease
Glyma.09G069800	protein.degradation.cysteine protease
Glyma.09G070900	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G073200	stress.biotic.respiratory burst
Glyma.09G075500	stress.biotic.PR-proteins
Glyma.09G079900	protein.degradation.aspartate protease
Glyma.09G090500	stress.biotic
Glyma.09G097500	signalling.receptor kinases.leucine rich repeat
Glyma.09G109800	misc.peroxidases
Glyma.09G110600	protein.degradation.cysteine protease
Glyma.09G115300	signalling.receptor kinases.leucine rich repeat
Glyma.09G126200	stress.biotic
Glyma.09G137200	protein.degradation.serine protease
Glyma.09G137300	protein.degradation.serine protease
Glyma.09G137500	protein.degradation.serine protease
Glyma.09G143800	protein.degradation.serine protease
Glyma.09G145600	signalling.receptor kinases.leucine rich repeat
Glyma.09G148600	misc.peroxidases
Glyma.09G152400	signalling.receptor kinases.leucine rich repeat
Glyma.09G154600	signalling.receptor kinases.leucine rich repeat
Glyma.09G155200	protein.degradation.serine protease
Glyma.09G155500	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G156700	misc.peroxidases
Glyma.09G160600	signalling.receptor kinases.leucine rich repeat
Glyma.09G161100	signalling.receptor kinases.leucine rich repeat
Glyma.09G161400	stress.biotic.PR-proteins
Glyma.09G162500	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G162600	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G162700	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G162800	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G163000	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G163100	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G163200	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G163300	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G163600	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G163700	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G163800	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G163900	stress.biotic.PR-proteins.proteinase inhibitors.trypsin inhibitor
Glyma.09G173800	signalling.receptor kinases.leucine rich repeat
Glyma.09G181100	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.09G185900	protein.degradation.aspartate protease
Glyma.09G196300	signalling.receptor kinases.leucine rich repeat
Glyma.09G196800	stress.biotic.signalling.MLO-like
Glyma.09G201100	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.09G201200	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.09G202800	stress.biotic.PR-proteins
Glyma.09G207800	stress.biotic
Glyma.09G208900	stress.biotic
Glyma.09G210400	stress.biotic
Glyma.09G210600	stress.biotic
Glyma.09G211100	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.09G212100	stress.biotic
Glyma.09G213800	protein.degradation.serine protease
Glyma.09G215700	signalling.receptor kinases.leucine rich repeat
Glyma.09G216400	signalling.receptor kinases.leucine rich repeat
Glyma.09G217200	signalling.receptor kinases.leucine rich repeat
Glyma.09G217500	signalling.receptor kinases.leucine rich repeat
Glyma.09G226700	protein.degradation.serine protease
Glyma.09G230300	signalling.receptor kinases.leucine rich repeat
Glyma.09G237900	protein.degradation.metalloprotease
Glyma.09G243400	signalling.receptor kinases.leucine rich repeat
Glyma.09G243600	signalling.receptor kinases.leucine rich repeat
Glyma.09G246600	signalling.receptor kinases.leucine rich repeat
Glyma.09G249300	protein.degradation.aspartate protease
Glyma.09G249500	protein.degradation.serine protease
Glyma.09G251800	signalling.receptor kinases.leucine rich repeat
Glyma.09G258200	stress.biotic
Glyma.09G261000	stress.biotic
Glyma.09G265700	stress.biotic
Glyma.09G272900	signalling.receptor kinases.leucine rich repeat
Glyma.09G274600	signalling.receptor kinases.leucine rich repeat
Glyma.09G275400	stress.biotic
Glyma.09G277800	misc.peroxidases
Glyma.09G277900	misc.peroxidases
Glyma.09G284400	misc.peroxidases
Glyma.09G284700	misc.peroxidases
Glyma.10G007000	hormone metabolism.ethylene.signal transduction
Glyma.10G007100	hormone metabolism.ethylene.signal transduction
Glyma.10G008500	hormone metabolism.ethylene.signal transduction
Glyma.10G009400	misc.peroxidases
Glyma.10G012300	protein.degradation.serine protease
Glyma.10G013700	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.10G021800	protein.degradation.serine protease
Glyma.10G022500	misc.peroxidases
Glyma.10G023100	signalling.receptor kinases.leucine rich repeat
Glyma.10G025600	protein.degradation.aspartate protease
Glyma.10G028100	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.10G028200	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.10G036300	hormone metabolism.ethylene.signal transduction
Glyma.10G036600	hormone metabolism.ethylene.signal transduction
Glyma.10G036700	hormone metabolism.ethylene.signal transduction
Glyma.10G038800	signalling.receptor kinases.leucine rich repeat
Glyma.10G040500	signalling.receptor kinases.leucine rich repeat
Glyma.10G047000	stress.biotic
Glyma.10G050800	misc.peroxidases
Glyma.10G057500	protein.degradation.cysteine protease
Glyma.10G058200	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.10G060300	stress.biotic
Glyma.10G060800	stress.biotic
Glyma.10G060900	stress.biotic
Glyma.10G061000	stress.biotic
Glyma.10G061100	stress.biotic
Glyma.10G061800	stress.biotic
Glyma.10G062100	stress.biotic
Glyma.10G063600	protein.degradation.aspartate protease
Glyma.10G065200	signalling.receptor kinases.leucine rich repeat
Glyma.10G071200	protein.degradation.metalloprotease
Glyma.10G079400	stress.biotic
Glyma.10G079700	stress.biotic
Glyma.10G079900	stress.biotic
Glyma.10G093300	protein.degradation.cysteine protease
Glyma.10G110100	signalling.receptor kinases.leucine rich repeat
Glyma.10G109100	protein.degradation.serine protease
Glyma.10G108700	stress.biotic.PR-proteins
Glyma.10G104300	protein.degradation.serine protease
Glyma.10G102100	protein.degradation.serine protease
Glyma.10G100300	stress.biotic
Glyma.10G118900	hormone metabolism.ethylene.signal transduction
Glyma.10G119100	hormone metabolism.ethylene.signal transduction
Glyma.10G120400	stress.biotic
Glyma.10G126700	signalling.receptor kinases.leucine rich repeat
Glyma.10G127500	stress.biotic.PR-proteins
Glyma.10G129000	signalling.receptor kinases.leucine rich repeat
Glyma.10G129400	signalling.receptor kinases.leucine rich repeat
Glyma.10G138400	stress.biotic
Glyma.10G143500	protein.degradation.aspartate protease
Glyma.10G146000	protein.degradation.metalloprotease
Glyma.10G147200	protein.degradation.serine protease
Glyma.10G147700	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.10G152200	stress.biotic.respiratory burst
Glyma.10G162600	stress.biotic
Glyma.10G162700	stress.biotic
Glyma.10G164700	signalling.receptor kinases.leucine rich repeat
